uid	fid
0	5
0	8
0	15
0	16
0	20
0	21
0	22
0	27
0	34
0	35
0	39
0	40
0	41
0	44
0	52
0	53
0	54
0	62
0	71
0	77
0	78
0	81
0	84
0	85
0	88
0	91
0	92
0	104
0	106
0	109
0	111
0	115
0	123
0	124
0	128
0	136
0	141
0	142
0	143
0	151
0	158
0	160
0	175
0	179
0	181
0	182
0	184
0	189
0	190
0	191
0	204
0	213
0	217
0	218
0	219
0	222
0	223
0	226
0	234
0	237
0	242
0	243
0	249
0	256
0	261
0	268
0	275
0	281
0	285
0	292
0	297
0	298
0	304
0	308
0	312
0	313
0	332
0	333
0	336
0	339
0	345
0	347
0	354
0	355
0	365
0	370
0	372
0	373
0	378
0	399
0	400
0	406
0	416
0	417
0	419
0	430
0	434
0	439
0	442
0	450
0	457
0	458
0	459
0	460
0	470
0	476
0	477
0	478
0	487
0	492
0	494
0	498
0	500
0	501
0	503
0	506
0	510
0	511
0	513
0	522
0	523
0	525
0	526
0	527
0	528
0	531
0	533
0	538
0	539
0	548
0	556
0	562
0	568
0	570
0	574
0	576
0	578
0	583
0	590
0	592
0	593
0	595
0	596
0	598
0	599
0	601
0	604
0	605
0	607
5	0
5	40
5	41
5	44
5	54
5	141
5	143
5	242
5	261
5	292
5	297
5	347
5	355
5	419
5	450
5	459
5	498
5	511
5	525
5	527
5	574
5	592
5	956
5	1174
5	1201
5	1556
5	1727
5	1747
5	1798
5	1848
5	1933
5	1999
5	2009
5	2255
5	2434
5	2805
5	2847
5	3138
5	3550
5	3553
5	3555
5	3563
5	3574
5	3578
5	3597
5	3598
5	3602
5	3625
5	3661
5	3663
5	3668
5	3673
5	3675
5	3697
5	3698
5	3703
5	3708
5	3711
5	3720
5	3727
5	3730
5	3736
5	3741
5	3750
5	3753
5	3760
5	3774
5	3777
5	3791
5	3793
5	3800
5	3805
5	3818
5	3824
5	3830
5	3835
5	3842
5	3853
5	3855
5	3857
5	3866
5	3869
5	3870
5	3885
5	3888
5	3890
5	3901
5	3903
5	3905
5	3906
5	3909
5	3934
5	3944
5	3965
5	3973
5	3975
5	3984
5	3985
5	3998
5	3999
5	4010
5	4039
5	4056
5	4066
5	4072
5	4076
5	4078
5	4080
5	4082
5	4103
5	4113
5	4128
5	4135
5	4149
5	4161
8	0
