vid	name	lat	lon
1391604	Conference House Park	40.5017589436	-74.2523431778
1391611	Almer G. Russell Pavilion	40.5022647413	-74.2542636395
1391499	Biddle House	40.5054829933	-74.2541456223
952920	Buddha Lounge	40.50537222	-74.23945146
1391847	Taqueria Oaxaca	40.5110095424	-74.2485237122
1537638	The Blowout Studio	40.515850917	-74.23379150000001
1488416	Subway	40.516839767	-74.23326055
951377	Tottenville Hot Bagels & Deli	40.516649823499996	-74.232891798
763643	Tottenville Auto Spa & Lube	40.5179649167	-74.23502915
420443	Roller Jam	40.5208420667	-74.2374685833
841383	Page Diner	40.5225133833	-74.2350053667
53394	Outerbridge Crossing	40.5250930333	-74.2419150333
1074333	Panera Bread	40.5260634	-74.2296697
1440049	The Dental Experience by William G. Corbett D.M.D.	40.527585633	-74.232877633
4010015	Four Vines Wines & Spirits	40.527289321	-74.23187354
1443622	Cheeburger Cheeburger	40.527235595	-74.231711295
1433935	Dunkin' Donuts	40.527392228000004	-74.231880482
4007777	Sally Beauty Supply	40.527158943	-74.231213028
371624	Target	40.5283290659	-74.2300850196
807713	Christmas Tree Shop	40.528980016999995	-74.2294500758
2040754	Wendy's	40.52137285	-74.21688133
807584	The Home Depot	40.5286150433	-74.2266069206
584537	Applebee's	40.5294128739	-74.227479237
3760902	Waldbaum's	40.521784675	-74.215800728
3733365	Joey's Diamond Cuts	40.522925975999996	-74.216525347
718231	Bed Bath & Beyond	40.5306811833	-74.22853455
3734169	Hot Shotz Sports Bar	40.523217157	-74.216306195
616347	Mike's Place	40.5291377699	-74.1624545991
215382	Portobello Café	40.5370727167	-74.1509378167
1232157	Raritan River - Fluke Fishing	40.4843695667	-74.1971015667
873220	La Bella	40.538623656700004	-74.1492641354
3975575	Blue Heron Park	40.530896458	-74.177561161
957071	Radisson	40.590396522199995	-74.2388476387
1701314	Dunkin' Donuts	40.592997966999995	-74.241478033
902095	Riuniti's Pizzeria	40.5910122	-74.23039615
1699550	Capital One Bank	40.588389299999996	-74.22798175
341897	Burger Express/The Station	40.575007899999996	-74.2196014261
1563927	Smith & Solomon Truck Driving School	40.6085157394	-74.2495214939
1314594	Dollar Tree	40.6122922897	-74.2508679628
191020	Walmart	40.612552916700004	-74.24832235
245253	The Home Depot, Aviation Mall, Linden, NJ	40.6181711056	-74.24906015399999
214337	Target 	40.617785	-74.243706
788036	Big Nose Kate's Saloon	40.5540742333	-74.21754625
129386	ShopRite	40.6187896833	-74.24631575
542887	Pathmark	40.5490189494	-74.22338445689999
245218	Starbucks	40.6194842937	-74.2487436533
245248	AT&T, Aviation Mall, Linden, NJ	40.6195962698	-74.2486149073
245219	Aviation Mall, Linden, NJ	40.619620701	-74.2463779449
438737	Angelo Leotta's	40.5555315667	-74.2132753667
244996	Memorial Field Park, Linden, NJ	40.616884359699995	-74.2327308655
245245	Applebee's	40.620435066599995	-74.2479979992
122027	AMC Aviation 12	40.6208585328	-74.245262146
230261	Chevy's	40.6210865519	-74.2462384701
245225	Hampton Inn, Aviation Mall, Linden, NJ	40.621632166	-74.2468553782
73671	Staten Island Lighthouse	40.57641325	-74.1412721833
694739	Richmond Engine Company	40.575507979099996	-74.1478765011
484819	Historic Richmond Town	40.5714293167	-74.1440684
523579	Bob's	40.584389888000004	-74.156588316
785671	ENT & Allergy Associates	40.58729338	-74.15571248
981865	Columbia Gym	40.5832084177	-74.16090130810001
1965879	Payless Shoes	40.5838195257	-74.1618132591
2009405	GapKids	40.5835424908	-74.1621673107
2409269	AT&T Store	40.5834039729	-74.1625964642
520388	Unique Playthings	40.5819047021	-74.1633796692
53321	T.G.I. Friday's	40.5785485917	-74.1645265488
695582	Auntie Anne's	40.5813661833	-74.1647117333
355956	Macy's	40.58229135	-74.1646633833
356027	Gap	40.5822921833	-74.1646735667
355964	JC Penny	40.5822697833	-74.1646784167
355970	East Pacific Bistro	40.5822803167	-74.1646782833
356024	GameStop	40.5822869333	-74.1646787333
355982	Fusion Tans	40.58227245	-74.16468353329999
73813	Panera Bread	40.5786202167	-74.1648023833
